eyeAct,uAct,uPow,lAct,lPow,time
neutral,neutral,0.0,smile,0.336307,1732051127.5983
neutral,neutral,0.0,smile,0.336307,1732051127.6607
neutral,neutral,0.0,smile,0.336307,1732051127.692
neutral,neutral,0.0,smile,0.323641,1732051127.7548
neutral,neutral,0.0,smile,0.323641,1732051127.786
neutral,neutral,0.0,smile,0.259829,1732051127.8485
neutral,neutral,0.0,smile,0.259829,1732051127.9111
neutral,neutral,0.0,smile,0.259829,1732051127.9423
neutral,neutral,0.0,smile,0.0,1732051128.0046
neutral,neutral,0.0,smile,0.0,1732051128.067
neutral,neutral,0.0,smile,0.0,1732051128.1299
neutral,neutral,0.0,smile,0.0,1732051128.1612
neutral,neutral,0.0,neutral,0.0,1732051128.2234
neutral,neutral,0.0,neutral,0.0,1732051128.2545
neutral,neutral,0.0,neutral,0.0,1732051128.3174
neutral,neutral,0.0,neutral,0.0,1732051128.3797
neutral,neutral,0.0,neutral,0.0,1732051128.4109
neutral,neutral,0.0,neutral,0.0,1732051128.4732
neutral,neutral,0.0,neutral,0.0,1732051128.5358
neutral,neutral,0.0,neutral,0.0,1732051128.5669
neutral,neutral,0.0,neutral,0.0,1732051128.6293
neutral,neutral,0.0,neutral,0.0,1732051128.6917
neutral,neutral,0.0,neutral,0.0,1732051128.7231
neutral,neutral,0.0,neutral,0.0,1732051128.7852
neutral,neutral,0.0,neutral,0.0,1732051128.8477
neutral,neutral,0.0,neutral,0.0,1732051128.8787
neutral,neutral,0.0,neutral,0.0,1732051128.9414
neutral,surprise,1.0,neutral,0.0,1732051128.9724
neutral,surprise,1.0,neutral,0.0,1732051129.0349
neutral,surprise,1.0,neutral,0.0,1732051129.0972
neutral,surprise,1.0,neutral,0.0,1732051129.1285
neutral,surprise,1.0,neutral,0.0,1732051129.1905
neutral,surprise,1.0,neutral,0.0,1732051129.2532
neutral,surprise,1.0,neutral,0.0,1732051129.316
neutral,surprise,1.0,neutral,0.0,1732051129.3471
neutral,surprise,1.0,neutral,0.0,1732051129.4098
neutral,surprise,1.0,neutral,0.0,1732051129.4412
neutral,surprise,1.0,neutral,0.0,1732051129.5037
neutral,surprise,1.0,neutral,0.0,1732051129.5659
neutral,surprise,1.0,neutral,0.0,1732051129.5972
neutral,surprise,1.0,neutral,0.0,1732051129.66
neutral,surprise,1.0,neutral,0.0,1732051129.7225
neutral,surprise,1.0,neutral,0.0,1732051129.7537
neutral,surprise,1.0,neutral,0.0,1732051129.8163
